LEHIGH,89255889214630538279341109401648405844
LA SALLE,67677433929129383348434586540289645482
SANTA CLARA,219669046060514041853892362067328036283
NORTH FLORIDA,26468668413597169935748237594041283018
CAL POLY,34759770074738107162654955779924310282
PORTLAND,319128963414015692283552612547968139899
PORTLAND STATE,136242458897093276289508163195898244031
PEPPERDINE,319465952400436332723790997140531641095
LOYOLA MARYMOUNT,313063763851423983382794386563151203073
FRESNO STATE,89132171637614123788059532962829030952
BRADLEY,254558761638197361535367236221759054236
FORDHAM,69399019352145649916979627187741618651
LOYOLA (ILL.),95152451252023947836906028250122539657
BOSTON COLLEGE,169876201779886545434534445500351604930
NEW HAMPSHIRE,140669173227215768760802687251190165892
AMERICAN,136326719348241701673314328326226901936
MANHATTAN,222848781393414365094772493785339678596
COLGATE,57722827128265597623753813773794291908
BINGHAMTON,85911346853015846441381432367730281204
UNC-GREENSBORO,233682707374574276530776113635573415336
UMASS LOWELL,19281186657213665145448725297211891936
SE MISSOURI,54006555323468015479718831520482258869
WILLIAM & MARY,199283066741745888669596117100193271913
NORTH DAKOTA,201502729948544419352253065012218443053
MAINE,180305105742638704175581427034842266179
WEBER STATE,151276157295395360512288707222026054664
GEORGE WASHINGTON,336927082968451246076357415532895004201
CBU,93327310091917052100401373886817595720
GONZAGA,145074727100028946687288802431063365860
SIENA,267378267041607941483187608914551472769
OHIO,72175372629962367272663218021230771778
VANDERBILT,5328428241898318164317078046259318862
WILLIAM AND MARY,309713549958464333489481291289180570984
SAN FRANCISCO,89409028658857897861259470449620098044
IUPUI,317585644837083833425495859009989011739
BELMONT,183152141723310931062468892262156351327
TENNESSEE-MARTIN,308563083359630698222954278046684668472
SAINT FRANCIS,236677757486836407373696925220130470554
IDAHO STATE,28581774343308439303476657910632164823
ALABAMA A&M,36567002437926686972449808536559811993
ARKANSAS-PINE BLUFF,4423406372558939519274887714296574593
MERRIMACK,115689752685798717653303397697304299166
MISSISSIPPI VALLEY,300440339140571447653886443626617518097
MEMPHIS,296219158048180736760489766996948756792
HOLY CROSS,106858941982541713230997478924494768075
LAFAYETTE,89243668313271684773298139429005417279
CANISIUS,131459849578698006840120406661180866816
NORTHERN KENTUCKY,215314484293992880159112420068437071395
BELLARMINE,311355082103238793493228659480626560417
CREIGHTON,98764131516657218486367064565092886627
HARTFORD,316822788484366107750607889381618488561
UL-LAFAYETTE,253026943892134376953326314571375986834
ARKANSAS-LITTLE ROCK,325677524970919644940690823017261036283
SAINT FRANCIS UNIVERSITY,231597341657443900522615758726714774757
NEW JERSEY INSTITUTE,120696418277280417632604783100906765821
VALPARAISO,129493105158595067844047588310579966914
RICHMOND,37563244430164107182992359678488916139
ST. MARY'S (CAL.),31571203783251307459652274056729307761
HOFSTRA,39307832317198889462494315541740678584
TEMPLE,126608636858037448955272624352064482643
MOREHEAD STATE,129634432615440496018147258788943064279
SAN DIEGO ST.,271040775020712443307562535188973707738
SAM HOUSTON ST.,128229309602704910124394334920954238025
NORTH CAROLINA ST.,307785769874206388064903027028089152659
MIAMI,153092471368863393875254537973779436703
BOSTON U.,106888326270393890101426458732956066525
CAL ST. NORTHRIDGE,48264009859855049360068118496869404560
CENTRAL MICHIGAN,31591159669529940396906640883238050335
LIU BROOKLYN,211917804081980684231255327807755202528
WIS.-MILWAUKEE,170431974644147822761136100210089024925
UMKC,114861880679985614551354008498168617794
SAVANNAH STATE,36791232925166428900705413739894844175
SAINT FRANCIS (PA.),340044909734858550988851159003579300301
UNC-WILMINGTON,114081949312925605871117491654821084419
CAL ST. BAKERSFIELD,94357276766856892332698001676354837045
DETROIT,74817587565259702329630768215489156387
VA. MILITARY INSTITUTE,247077568621298338019500074598206099081
MISSISSIPPI,67895287112572378012986331026105054061
SIU-EDWARDSVILLE,169913876898784494263967903899616636432
TENNESSEE TECH,127951173314512795306652073515354154404
TEXAS-ARLINGTON,227004254282810335817496509063908332262
ARMY,148799772867545051149374748483496094645
TEXAS-PAN AMERICAN,260433415762964449178230311745941395699
RADFORD,211512753262924472351918457062330558499
ELON,81367074105657387624969213843589402070
QUINNIPIAC,198463639430622204768101933866969185750
CHATTANOOGA,196437718123267339754311124017237612690
OHIO U.,57045920684152030233507199222933492876
FAIRFIELD,147910444689648636157409353611417806549
FLORIDA INT'L,41523685785012717745390971194442925211
ST. FRANCIS (PA.),285285309671589086681838300256164104759
ROBERT MORRIS,338765087168834422483989106780993402457
NORTH DAKOTA ST.,212786877547818130295096357079097847612
FLORIDA ATLANTIC,193580435711498427285935172165395936494
OREGON STATE,130126683861490990589823885620813488397
MARSHALL,246181504544776638082992396004260092290
GEORGIA STATE,226330750924885210638990436052849531804
SETON HALL,111519044997532106889083554122199092036
BOWLING GREEN,129224807706524692047070975521200080177
NEW MEXICO ST.,55198867529317469707060530345018144205
MERCER,249063413505550462949267616881553133596
LONG ISLAND,107277560644700903910242701013432120056
MISSISSIPPI ST.,185075987630846613529529036814033394795
ST. LOUIS U.,64907909643580229074617991685893063364
DELAWARE,315545461235869612308615009091819899672
TOLEDO,77074970566362445004442906255697285312
MURRAY STATE,214508539985325600915277628922513931197
KANSAS CITY,258044771227265399751317977838833762464
TEXAS-RIO GRANDE VALLEY,158205917535383441018580560903603071159
SOUTHERN CALIFORNIA,124234934761206540534487762979525361133
UNAT-WICHITA STATE,218442700086116644771378102429595683183
CLOUD COUNTY CC,199571052559731611897860747971165597657
RUSSELL,276385648461351207463302045335609711551
UNAT-SAN JOSE ST.,319732006912323091273274285893174198912
UNAT-HOUSTON,103339169143658386056780084749023056154
NORTHWOOD (MICH.),311053981785955847745355893145996093305
IOWA CENTRAL CC,176891715351392024962623979743945671880
SOUTHERN ARKANSAS,309430554600221511619506266630281423556
HOUSTON STRAKE JESUIT,103566942654121237487434591665840007712
DAKOTA STATE,328780006950976299580081381023895763816
HUMBLE,48296908409737645103692364187089121581
CUMBERLANDS,234802499449840846061239640653355349613
PEARLAND DAWSON,177035524290925621992448270663919693918
BARTON COUNTY CC,332120751330272157191139699770399166602
UNITED STATES,174474371058589469032127478324812947411
ARKANSAS BAPTIST,311412832627276755744190797765778374718
UNAT-PURDUE,338878365319887530901456533596098230797
UNAT-NEBRASKA,153612029085418861893810402837538190170
WESTERN TEXAS COLLEGE,73291264944615506959390490369028388721
BUTLER CC,7728734599494036851714875661635781488
UNAT-BUTLER CC,264928166500984984673635980678772478972
WICHITA-SOUTH,118776951511713271478230598027721552762
UNAT-SAM HOUSTON ST.,18315176193549948912235960555582651133
WYLIE,57853430718803832719544195606086694323
NEW MEXICO JC,4927055549798697098037100588060354571
TEAM PERFECT METHOD,37549277934326751526256266180283758527
BELGIUM,39911375990659927400707728445736326110
UNAT-WISCONSIN,57026228151913227609996006892303728669
UNAT-GEORGETOWN,55076612670847259502190481254752556080
NIKE / NIKE OTCE,53551620035394079674003047690581834458
NIKE OTC / NIKE OTCE,82878188428058035367659813269411761555
NIKE,15527738093808268478569994320362947613
INDIANA ST.,53144632794133774864558864833890922280
TEAM GREEN RUNNING,209740289782380791958468444437126954483
UNAT-PRINCETON,27795938644971950850608302319792473984
NYAC,111063637591660600163340220764455533296
COLBY CC,167657361663469594977703640961166744208
HOKA NAZ ELITE,248734048228460507392139950714598311072
ASICS,22457628619646148282071135566018008440
UNAT-UA,288189547149663457134828690460852625267
UNAT-VIRGINIA TECH,256526816498058617671206659579485116783
SAUCONY FREEDOM TC,110311128867436721575611544533056958772
UNAT-NORTH CAROLINA ST.,67624638960490970249675108283678398427
PURE ATHLETICS,263371892053435039129533495399006959244
KENT ST.,136235420257615155256180878637562133199
UNAT-SYRACUSE,21477171697934816388939792902468409506
NEW YORK ATHLETIC CLUB,264703091265277581796261237866229824931
UNAT-NEW MEXICO,180769958794323747623117323231656026890
UNAT-SOUTH DAKOTA,36523766062028582564877198746589829248
UNAT-MINNESOTA,87295178509071076202190317810334073999
UNAT-LONG ISLAND,56953051307631069392603596983067944545
UNAT-MISSOURI,97712729366621618746557645498824065934
UNAT-DELAWARE STATE,29380373353926176508822788878036735308
IOWA ST.,66049211032410215529541385096470701457
UNAT-ALABAMA,239014091291206296826889416005450910624
CANADA,213072551798811059906336495510926204679
UNAT-SAMFORD,180926962316552285871957185124904116948
BROOKS,282523176572107749695950266963216398525
BAHAMAS,175020222587415079911052691826619909179
UNAT-TCU,194824889359665877087948390219747810464
UNAT-CORNELL,128918180419388208876436787803864361749
HOKA ONE ONE NAZ ELITE,213959586295249967500693479299155375407
UNAT-NORTH DAKOTA ST.,99474885887950366274836950265060048731
,21695180178296083381368992169231146403
OKLAHOMA ST.,145679527687483390557966023612618406408
UNAT-GEORGE MASON,268411910793779693297287070425947502276
UNAT-ARIZONA STATE,152791129047287889608722785867869287491
UNAT-MEMPHIS,199059972540134431486587562380920350349
AUSTRALIA,165818237545305516122906949834869112167
GREAT BRITAIN,251316533027248102257816420008772170927
UNAT-MICHIGAN,66007206000239866297597189329067255135
UNAT-CLEMSON,9790326676031846227553460200570678801
DESOTO,309570804009427227350193664735083019818
UNAT-EASTERN WASHINGTON,236966496851288930067643609507755426330
UNAT,226171113752760957134228937865472580877
SERBIA,326260548236946796394699707651772580650
UNAT-BUTLER,8791694062002803515948579565164506037
JAMAICA,294356440146940983127307966086852744629
NIGERIA,55135468818836194315131206527017398346
UNAT-NORTHERN COLORADO,56587941123371734075246754656440915574
UNAT-SOUTHERN UTAH,240101539673843887029961954374453745957
UNAT-BUFFALO,196207349081120857842457468109548662767
NIKE OTC,10352603183917457531958722308383435113
UNAT-MID. TENN. STATE,185380046471658565165491470024123757273
ARKANSAS ST.,6944540005759661205704294058271721370
UNAT-BOISE STATE,121841745243279992810835451550374357012
SOUTH PLAINS,117716754536873316767785904361459633867
UNAT-INDIANA,217195250793339824895839056698946523546
UNAT-LIBERTY,3056547773225547288460506839080396421
UNATTAHCED,141231294153780846269819635789253290164
GHANA,310311562856219878723654575214919281994
GEORGETOWN UNATTACHED,316824271282484647523106450025689637044
UNATTATCHED,260713998359966678003654296714598373774
UNAT-AKRON,245637735770032515869740786654345387589
UNAT-SE LOUISIANA,77391157041323220180797189433550916032
UNAT-ABILENE CHRISTIAN,140799426875975083879729147261951107986
APPALACHIAN ST.,135960604984164302745738084660251837989
UNAT-OKLAHOMA,177257370891905072057795013498388525176
UNAT-KANSAS,101283506319643622042343695023721263462
UNAT-SOUTH DAKOTA ST.,291020231558485861717741940348482172136
UNAT-COLORADO,262285224933173713006618332711223494092
NORTHERN ARIZ.,76162596533072858769064881464090769278
UNAT-KANSAS STATE,131984299014755366233612344074681015037
KANSAS ST.,90190886945916714445349012727521927688
UNAT-FURMAN,103921323362332283734822806103062945223
UNAT-NORTH DAKOTA STATE,222714155179494460610886571495254864204
UNAT-VIRGINIA,90574419127883417207786443166441629734
UNATT-WICHITA STATE UNIVE,117730381874506692165602392369256457835
UNAT-TEXAS TECH,171075366550464873540316368118614313962
WHITEHOUSE,328505325738652290998841235476868415452
UNAT-NORTH FLORIDA,260034285238041992462154314319100634737
UNAT- NORTHEASTERN,45384115869483870693140299782726979029
UNA,195251142944691022132915929056331142379
UTAH VALLEY STATE,230330946129309040323409945330471595992
FLORIDA ST.,150758809691125243090924081652952275534
UNAT-VCU,218620677710976143626444054887619459069
UNAT-VERMONT,246565652274476482803572467305702087244
DAYTON,66826548911100860224952274142539213887
ADRIAN,293260720818681388139673606637281316607
WICHITA ST.,271095576643678517047244815826904312620
UNAT-GARDNER-WEBB,19577417127644673757471962963131779146
UNAT-BENEDICT,333054639816583151129332007069421315198
UNAT-ILLINOIS,144966880730342346052666605149061529287
UNAT-NORTHERN ARIZONA,332813334596657982262684465380698302531
UNAT-UT-ARLINGTON,299744315345585447788298189965292829533
UNAT-,24834914397291093318814352023658577939
ASICS FURMAN ELITE,95094733606343591603446109841799581570
U.S. ARMY,243592585279776653564733518873031295608
UNAT-MICHIGAN STATE,161641363355687727106960325875978585247
UNAT-ARKANSAS-LITTLE ROCK,13428936017193210210744779692875928094
UNAT-COLORADO ST.,247085931150319241935842374357294461992
UNAT-INDIANA STATE,322291614474341766749184730380233492198
UNAT-RIPON,13373098486176339590179684181278010239
MIDDLE TENN.,42414462223963372006664377195337615029
UNDER ARMOUR,134713894518189910469669572736315309887
UNA-FAMU,259827196696869231265643956883335808103
INDIAN HILLS CC,123656521440169851754329291375088229384
RIVERVIEW (SARASOTA),22807883007819894924653347276462112160
IDAHO DASH TC,307518774673999325604038749904617881520
UNAT-GONZAGA,90208016760324807364867372622003102220
UNAT-LONG BEACH ST.,41120900927510257748031195257779316270
